MR AB MACMURDO                           Mr AB MacMurdo                           Dear Mr MacMurdo                        
LIEUTENANT COLONEL DE DE SILVA           Lieutenant Colonel DE De Silva           Dear Lieutenant Colonel De Silva        
<MR AND MRS AB & CD O'BRIEN>                                                      Dear Friend                             
MR AB AND M/S CD VAN DER HEIDEN-MACNAY                                            Dear Friend                             
 MR AS & D.E. DE LA MARE                                                          Dear Friend                             
ESTATE OF THE LATE AB LE FONTAIN         Estate Of The Late AB Le Fontain         Dear Friend                             
MR. EUGENE ANDERSON I                    Mr. Eugene Anderson I                    Dear Mr. Anderson                       
MR. EUGENE ANDERSON II                   Mr. Eugene Anderson II                   Dear Mr. Anderson                       
MR. EUGENE ANDERSON III                  Mr. Eugene Anderson III                  Dear Mr. Anderson                       
MR. EUGENE ANDERSON IV                   Mr. Eugene Anderson IV                   Dear Mr. Anderson                       
MR. EUGENE ANDERSON V                    Mr. Eugene Anderson V                    Dear Mr. Anderson                       
MR. EUGENE ANDERSON VI                   Mr. Eugene Anderson VI                   Dear Mr. Anderson                       
MR. EUGENE ANDERSON VII                  Mr. Eugene Anderson VII                  Dear Mr. Anderson                       
MR. EUGENE ANDERSON VIII                 Mr. Eugene Anderson VIII                 Dear Mr. Anderson                       
MR. EUGENE ANDERSON IX                   Mr. Eugene Anderson IX                   Dear Mr. Anderson                       
MR. EUGENE ANDERSON X                    Mr. Eugene Anderson X                    Dear Mr. Anderson                       
MR. EUGENE ANDERSON XI                   Mr. Eugene Anderson XI                   Dear Mr. Anderson                       
MR. EUGENE ANDERSON XII                  Mr. Eugene Anderson XII                  Dear Mr. Anderson                       
MR. EUGENE ANDERSON XIII                 Mr. Eugene Anderson XIII                 Dear Mr. Anderson                       
MR KA MACQUARIE JNR.                     Mr KA MacQuarie Jnr                      Dear Mr MacQuarie                       
REVERAND S.A. VON DER MERVIN SNR         Reverand S.A. Von Der Mervin Snr         Dear Reverand Von Der Mervin            
BIG BROTHER & THE HOLDING COMPANY                                                 Dear Friends                            
RIGHT HONOURABLE MR PJ KEATING           Right Honourable Mr PJ Keating           Dear Mr Keating                         
MR TOM JONES                             Mr TOM Jones                             Dear Mr Jones                           
Robert James Hawke                       Robert James Hawke                       Dear Friend                             
EDWARD G WHITLAM                         Edward G Whitlam                         Dear Friend                             
JAMES BROWN                              James Brown                              Dear Friend                             
MR AS SMI9TH                             Mr AS Smith                              Dear Mr Smith                           
prof a.s.d. genius                       Prof A.S.D. Genius                       Dear Prof Genius                        
Coltrane, Mr. John                       Mr. John Coltrane                        Dear Mr. Coltrane                       
Davis, Miles A.                          Miles A. Davis                           Dear Friend                             
Smith, Mr AB                             Mr AB Smith                              Dear Mr Smith                           
De Silva, Professor A.B.                 Professor A.B. De Silva                  Dear Professor De Silva                 
Air Marshall William Dunn                Air Marshall William Dunn                Dear Air Marshall Dunn                  
Major General William Dunn               Major General William Dunn               Dear Major General Dunn                 
J.R.R. Tolkien                           J.R.R. Tolkien                           Dear Friend                             
James Graham, Marquess of Montrose       Marquess Of Montrose                     Dear Friend                             
Flight Officer John Gillespie Magee      Flight Officer John Gillespie Magee      Dear Flight Officer Magee               
Sir Author Conan Doyle                   Sir Author Conan Doyle                   Dear Sir Doyle                          
Major JA Dunn                            Major JA Dunn                            Dear Major Dunn                         
